author_id	author_orchid_id	author_fname	author_lname	author_dblp_url	author_dblp_key	author_gscholar_url	author_affiliation	author_page
114	 	Emre	Sargin	https://dblp.org/pid/136/1083	homepages/136/1083	https://scholar.google.com/scholar?q=Emre+Sargin		 
115	 	Even	Oldridge	https://dblp.org/pid/227/0567	homepages/227/0567	https://scholar.google.com/scholar?q=Even+Oldridge		 
116	 	Fatih	Aksel	https://dblp.org/pid/167/4808	homepages/167/4808	https://scholar.google.com/scholar?q=Fatih+Aksel		 
117	 	Franca	Garzotto	https://dblp.org/pid/68/7019	homepages/68/7019	https://scholar.google.com/scholar?q=Franca+Garzotto		 
118	 	Françoise	Fessant	https://dblp.org/pid/31/5631	homepages/31/5631	https://scholar.google.com/scholar?q=Fran%C3%A7oise+Fessant		 
119	"ID inferred from metadata,verification pending"	Gianni	Costa	https://dblp.org/pid/92/3741	homepages/92/3741	https://scholar.google.com/scholar?q=Gianni+Costa		 
120	 	Guy	Hadash	https://dblp.org/pid/217/7306	homepages/217/7306	https://scholar.google.com/scholar?q=Guy+Hadash		 
121	 	Hao	Jiang	https://dblp.org/pid/38/6049-11	homepages/38/6049-11	https://scholar.google.com/scholar?q=Hao+Jiang	University of Hong Kong	 
122	 	Hector	Yee	https://dblp.org/pid/125/2030	homepages/125/2030	https://scholar.google.com/scholar?q=Hector+Yee		 
123	 	Hubert	Pham	https://dblp.org/pid/56/4406	homepages/56/4406	https://scholar.google.com/scholar?q=Hubert+Pham		 
124	"ID inferred from metadata,verification pending"	Il	Im	https://dblp.org/pid/64/4122	homepages/64/4122	https://scholar.google.com/scholar?q=Il+Im		 
125	 	Ishan	Ghanmode	https://dblp.org/pid/227/1434	homepages/227/1434	https://scholar.google.com/scholar?q=Ishan+Ghanmode		 
126	 	Jana	Eggers	https://dblp.org/pid/185/2845	homepages/185/2845	https://scholar.google.com/scholar?q=Jana+Eggers		 
127	0000-0003-3684-307X	Jennifer	Golbeck	https://dblp.org/pers/hb/g/Golbeck:Jennifer.html	homepages/48/2412	https://scholar.google.com/scholar?q=Jennifer+Golbeck	"University of Maryland, College Park, USA"	http://jengolbeck.com/
128	 	Jane	Cleland-Huang	https://dblp.org/pid/c/JaneClelandHuang	homepages/c/JaneClelandHuang	https://scholar.google.com/scholar?q=	"University of Notredame, IN, USA"	author's page @ nd.edu
